Time [s],Packet ID,MOSI,MISO
0.0295725000,0,0xFC,
0.0298210000,0,0xE6,
0.0303815000,0,0xDA,
0.0306310000,0,0xFD,
0.0309135000,0,0x00,
0.0312920000,0,0x00,
0.0315770000,0,0xFE,
0.0318310000,0,0xFD,
0.0322830000,0,0xE6,
0.0325315000,0,0x00,
0.0328085000,0,0x00,
0.0330560000,0,0x00,
0.0334440000,0,0x20,
0.0338210000,1,0x10,
0.0343030000,2,0x3F,
0.0345580000,2,0xCF,
0.0348380000,2,0x06,
0.0354565000,2,0x4F,
0.0356970000,2,0x44,
0.0359265000,2,0x17,
0.0364020000,3,0x11,
0.0367190000,4,0x3F,
0.0369745000,4,0xCF,
0.0374215000,4,0x06,
0.0376715000,4,0x4F,
0.0379110000,4,0x44,
0.0381405000,4,0x17,
0.0385855000,5,0x12,
0.0389340000,6,0x3F,
0.0391890000,6,0xCF,
0.0396040000,6,0x06,
0.0398535000,6,0x4F,
0.0402055000,6,0x44,
0.0406480000,6,0x17,
0.0409575000,7,0x13,
0.0412750000,8,0x3F,
0.0415300000,8,0xCF,
0.0418100000,8,0x06,
0.0420600000,8,0x4F,
0.0423000000,8,0x44,
0.0425295000,8,0x17,
0.0428390000,9,0x14,
0.0431880000,10,0x3F,
0.0434435000,10,0xCF,
0.0437230000,10,0x06,
0.0439725000,10,0x4F,
0.0442125000,10,0x44,
0.0444415000,10,0x17,
0.0447505000,11,0x15,
0.0452710000,12,0x3F,
0.0455260000,12,0xCF,
0.0458060000,12,0x06,
0.0460555000,12,0x4F,
0.0462960000,12,0x44,
0.0465255000,12,0x17,
0.0468355000,13,0x00,
0.0471810000,14,0x3F,
0.0474360000,14,0xBF,
0.0477180000,14,0x3F,
0.0479700000,14,0x3F,
0.0482105000,14,0x04,
0.0484380000,14,0x07,
0.0487465000,15,0x01,
0.0490615000,16,0x3F,
0.0493165000,16,0xBF,
0.0495985000,16,0x3F,
0.0498505000,16,0x3F,
0.0502010000,16,0x04,
0.0504285000,16,0x07,
0.0507365000,17,0x02,
0.0510515000,18,0x3F,
0.0513065000,18,0xBF,
0.0515880000,18,0x3F,
0.0518405000,18,0x3F,
0.0520805000,18,0x04,
0.0523085000,18,0x07,
0.0526170000,19,0x03,
0.0529655000,20,0x3F,
0.0532210000,20,0xBF,
0.0535025000,20,0x3F,
0.0537545000,20,0x3F,
0.0539945000,20,0x04,
0.0542220000,20,0x07,
0.0545305000,21,0x04,
0.0548450000,22,0x3F,
0.0553015000,22,0xBF,
0.0555830000,22,0x3F,
0.0558355000,22,0x3F,
0.0560755000,22,0x04,
0.0563035000,22,0x07,
0.0565990000,23,0x05,
0.0568225000,23,0xA0,
0.0570810000,24,0xFF,
0.0573255000,25,0xFF,
0.0576145000,25,0xFF,
0.1357495000,25,0xFC,
0.1359980000,25,0xE6,
0.1362880000,25,0xDA,
0.1365375000,25,0xFD,
0.1368285000,25,0x00,
0.1370725000,25,0x00,
0.1373980000,25,0xFE,
0.1376515000,25,0xFD,
0.1379450000,25,0xE6,
0.1381935000,25,0x00,
0.1384785000,25,0x00,
0.1387250000,25,0x00,
0.1389465000,25,0x20,
0.1393235000,26,0x10,
0.1396790000,27,0x3F,
0.1399345000,27,0xCF,
0.1403015000,27,0x06,
0.1405515000,27,0x4F,
0.1407915000,27,0x44,
0.1410210000,27,0x17,
0.1413305000,28,0x11,
0.1416875000,29,0x3F,
0.1419430000,29,0xCF,
0.1422315000,29,0x06,
0.1424810000,29,0x4F,
0.1427210000,29,0x44,
0.1429500000,29,0x17,
0.1432595000,30,0x12,
0.1435840000,31,0x3F,
0.1438390000,31,0xCF,
0.1441275000,31,0x06,
0.1443770000,31,0x4F,
0.1446175000,31,0x44,
0.1448470000,31,0x17,
0.1453590000,32,0x13,
0.1457175000,33,0x3F,
0.1459725000,33,0xCF,
0.1462610000,33,0x06,
0.1465100000,33,0x4F,
0.1467505000,33,0x44,
0.1469800000,33,0x17,
0.1472890000,34,0x14,
0.1476140000,35,0x3F,
0.1478695000,35,0xCF,
0.1481900000,35,0x06,
0.1484395000,35,0x4F,
