[2026-05-09 18:29:25] MSG:MsgTimeStatus {"epoch":1778351365,"source":3,"valid":true}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:26] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:26] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:29:26] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:28] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:28] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:29:28] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:28] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:28] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:28] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:28] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:29] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:29] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:29] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:29] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:29] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:29:29] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:30] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:30] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:31] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:29:31] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:32] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:32] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:32] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:29:34] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:34] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:29:34] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:35] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:35] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:29:36] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:36] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:29:36] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:36] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
