,,,,,,,,,,,,,,,"150,0.333,450.00",,,,,"101.25,0.225,450.00",,,,,,,,,"450.00,1.000,450.00",,,,,,,,,,"0.00,P,450.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Data 1,,,,Data 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Decimal,Binary,MSB 4,LSB  4,Decimal,Binary,MSB 4,LSB 4,,,,,,,,,,,,,,,,,
240,192,,240,192,,240,240,,240,240,,240,192,,240,11110000,240,11110000,,240,11110000,15,0,240,11110000,15,0,,240,11110000,15,0,240,11110000,15,0,,,240,15,0,192,12,0
241,241,,241,241,,241,241,,241,241,,241,241,,241,11110001,241,11110001,,241,11110001,15,1,241,11110001,15,1,,241,11110001,15,1,241,11110001,15,1,,,241,15,1,241,15,1
242,242,,242,242,,242,242,,242,242,,242,242,,242,11110010,242,11110010,,242,11110010,15,2,242,11110010,15,2,,242,11110010,15,2,242,11110010,15,2,,,242,15,2,242,15,2
243,243,,243,243,,243,243,,243,243,,243,243,,19,10011,243,11110011,,19,10011,1,3,243,11110011,15,3,,67,1000011,4,3,243,11110011,15,3,,,243,15,3,243,15,3
244,244,,244,244,,244,4,,244,4,,244,244,,84,1010100,4,100,,4,100,0,4,4,100,0,4,,84,1010100,5,4,20,10100,1,4,,,244,15,4,244,15,4
5,245,,5,245,,5,5,,5,5,,5,245,,5,101,53,110101,,21,10101,1,5,37,100101,2,5,,5,101,0,5,5,101,0,5,,,5,0,5,245,15,5
6,246,,6,246,,6,6,,6,6,,6,246,,6,110,54,110110,,38,100110,2,6,38,100110,2,6,,6,110,0,6,6,110,0,6,,,6,0,6,246,15,6
7,247,,7,247,,7,7,,7,7,,7,247,,7,111,55,110111,,87,1010111,5,7,87,1010111,5,7,,7,111,0,7,7,111,0,7,,,7,0,7,247,15,7
248,168,,248,168,,248,24,,248,24,,248,168,,248,11111000,168,10101000,,248,11111000,15,8,168,10101000,10,8,,248,11111000,15,8,168,10101000,10,8,,,248,15,8,168,10,8
73,169,,73,169,,73,169,,73,169,,73,169,,73,1001001,169,10101001,,73,1001001,4,9,169,10101001,10,9,,73,1001001,4,9,169,10101001,10,9,,,73,4,9,169,10,9
90,250,,90,250,,90,26,,90,26,,90,250,,90,1011010,26,11010,,90,1011010,5,10,26,11010,1,10,,90,1011010,5,10,26,11010,1,10,,,90,5,10,250,15,10
11,171,,11,171,,11,171,,11,171,,11,171,,11,1011,171,10101011,,11,1011,0,11,171,10101011,10,11,,11,1011,0,11,171,10101011,10,11,,,11,0,11,171,10,11
12,252,,12,252,,12,252,,12,252,,12,252,,12,1100,252,11111100,,12,1100,0,12,252,11111100,15,12,,12,1100,0,12,252,11111100,15,12,,,12,0,12,252,15,12
13,253,,13,253,,13,173,,13,173,,13,253,,13,1101,173,10101101,,13,1101,0,13,173,10101101,10,13,,13,1101,0,13,173,10101101,10,13,,,13,0,13,253,15,13
